Total,1,2,3,4,5,6,7,8,9,10
1,0.93,1.0575,0.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.93,1.0575,1.05,1.0425,1.04,1.0325,0.3275,1.03,1.06,1.035
2,0.93,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.935,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.94,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.945,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,0.96,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.965,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,0.035
4,0.965,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.975,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,0.91,1.035
1,0.975,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,0.985,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.99,1.0575,0.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.99,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,0.995,1.0575,1.05,1.0425,1.04,1.0325,1.0375,0.03,1.06,1.035
1,1,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
3,1.01,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.015,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.02,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.025,1.0575,1.05,1.0425,1.04,1.0325,0.7575,1.03,1.06,1.035
1,1.04,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.045,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
3,1.055,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.06,1.0575,0.34,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.065,1.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,1.07,0.0575,0.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.0575,0.07,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
3,1.07,0.0575,1.05,0.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.0575,1.05,1.0425,0.04,1.0325,1.0375,1.03,0.06,1.035
3,1.07,0.0575,1.05,1.0425,0.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.0575,1.05,1.0425,0.86,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.0575,1.05,1.0425,1.04,0.0325,1.0375,1.03,1.06,0.035
2,1.07,0.0575,1.05,1.0425,1.04,0.0325,1.0375,1.03,1.06,1.035
1,1.07,0.0575,1.05,1.0425,1.04,0.5925,1.0375,1.03,1.06,1.035
3,1.07,0.0575,1.05,1.0425,1.04,1.0325,0.0375,1.03,1.06,1.035
1,1.07,0.0575,1.05,1.0425,1.04,1.0325,0.6075,1.03,1.06,1.035
1,1.07,0.0575,1.05,1.0425,1.04,1.0325,0.6675,1.03,1.06,1.035
1,1.07,0.0575,1.05,1.0425,1.04,1.0325,0.7975,1.03,1.06,1.035
1,1.07,0.0575,1.05,1.0425,1.04,1.0325,1.0375,0.32,1.06,1.035
1,1.07,0.0575,1.05,1.0425,1.04,1.0325,1.0375,0.99,1.06,1.035
10,1.07,0.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,0.06,1.035
1,1.07,0.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,0.065,1.035
1,1.07,0.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,0.14,1.035
1,1.07,0.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,0.485,1.035
1,1.07,0.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,0.515,1.035
1,1.07,0.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,0.65,1.035
1,1.07,0.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,0.73,1.035
1,1.07,0.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,0.745,1.035
1,1.07,0.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,0.835,1.035
1,1.07,0.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,0.95,1.035
1,1.07,0.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,0.965,1.035
1,1.07,0.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.015,1.035
4,1.07,0.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,0.035
1,1.07,0.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,0.935
191,1.07,0.0575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.1175,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,1.07,0.1275,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
